sand,clay,drainage
46,34,1.080014
46,32,1.128546
46,30,1.199633
46,28,1.282424
46,26,1.373744
46,24,1.463054
46,22,1.546773
46,20,1.620745
46,18,1.698727
46,16,1.792862
46,14,1.929462
46,12,2.116554
46,10,2.350054
46,8,2.620522
46,6,2.91683
46,4,3.26552
46,2,3.668441
46,0,4.130587
48,52,0.822509
48,50,0.879529
48,48,0.939301
48,46,0.996736
48,44,1.043986
48,42,1.075809
48,40,1.084972
48,38,1.08334
48,36,1.083367
48,34,1.097172
48,32,1.138717
48,30,1.207364
48,28,1.294652
48,26,1.390989
48,24,1.491727
48,22,1.58718
48,20,1.680607
48,18,1.765896
48,16,1.851593
48,14,1.959358
48,12,2.115187
48,10,2.320579
48,8,2.576102
48,6,2.871954
48,4,3.201526
48,2,3.584375
48,0,4.020775
50,50,0.855544
50,48,0.915827
50,46,0.975719
50,44,1.029562
50,42,1.070739
50,40,1.091124
50,38,1.097755
50,36,1.101987
50,34,1.114332
50,32,1.148654
50,30,1.212915
50,28,1.301
50,26,1.400133
50,24,1.506524
50,22,1.614178
50,20,1.721364
50,18,1.821365
50,16,1.919459
50,14,2.022048
50,12,2.149283
50,10,2.321558
50,8,2.549154
50,6,2.832956
50,4,3.158397
50,2,3.524213
50,0,3.932664
52,48,0.889597
52,46,0.950629
52,44,1.008812
52,42,1.056713
52,40,1.088823
52,38,1.105607
52,36,1.11445
52,34,1.128498
52,32,1.159777
52,30,1.217455
52,28,1.30514
52,26,1.408579
52,24,1.518966
52,22,1.631374
52,20,1.746266
52,18,1.857759
52,16,1.967326
52,14,2.081675
52,12,2.206345
52,10,2.355866
52,8,2.546308
52,6,2.800477
52,4,3.109945
52,2,3.471424
52,0,3.876653
54,46,0.923592
54,44,0.983638
54,42,1.037537
54,40,1.080211
54,38,1.106523
54,36,1.123112
54,34,1.140183
54,32,1.170895
54,30,1.221687
54,28,1.301929
54,26,1.409489
54,24,1.525153
54,22,1.644668
54,20,1.766938
54,18,1.885423
54,16,2.003677
54,14,2.126159
54,12,2.258683
54,10,2.409372
54,8,2.584075
54,6,2.798923
54,4,3.071818
54,2,3.41638
54,0,3.814545
56,44,0.954882
56,42,1.013455
56,40,1.062083
56,38,1.098645
